Price,Close,High,Low,Open,Volume
Ticker,^NDX,^NDX,^NDX,^NDX,^NDX
Date,,,,,
1985-10-01,115.4800033569336,116.125,106.75,110.62000274658203,3716680000
1985-11-01,126.05999755859375,126.43499755859375,115.4800033569336,115.4800033569336,3681760000
1985-12-01,132.2949981689453,133.18499755859375,124.72000122070312,126.05999755859375,4469640000
1986-01-01,132.9250030517578,134.1300048828125,128.05499267578125,132.2949981689453,4821700000
1986-02-01,140.4250030517578,141.8300018310547,132.9250030517578,132.9250030517578,4647400000
1986-03-01,148.86000061035156,149.2050018310547,139.56500244140625,140.4250030517578,5191800000
1986-04-01,154.91000366210938,160.9499969482422,144.8300018310547,148.86000061035156,5629200000
1986-05-01,163.16000366210938,163.6199951171875,153.72500610351562,154.91000366210938,4824640000
1986-06-01,162.61500549316406,163.97999572753906,156.86500549316406,163.16000366210938,5138800000
1986-07-01,144.7050018310547,164.55999755859375,142.72999572753906,162.61500549316406,4822080000
1986-08-01,151.6999969482422,152.55499267578125,140.17999267578125,144.7050018310547,4203080000
1986-09-01,137.4949951171875,152.07000732421875,133.27999877929688,151.6999969482422,4406360000
1986-10-01,144.47999572753906,145.17999267578125,137.40499877929688,137.52000427246094,4305780000
1986-11-01,147.94000244140625,147.9600067138672,138.9550018310547,144.47999572753906,4149540000
1986-12-01,141.40499877929688,150.85000610351562,140.94500732421875,147.94000244140625,5217780000
1987-01-01,166.6750030517578,170.27499389648438,141.40499877929688,141.40499877929688,6369240000
1987-02-01,182.75,184.72999572753906,166.5800018310547,166.7050018310547,6059400000
1987-03-01,186.0399932861328,191.7449951171875,179.86500549316406,182.75,6610000000
1987-04-01,184.8300018310547,192.4600067138672,177.50999450683594,186.0399932861328,6054000000
1987-05-01,188.77000427246094,191.6999969482422,179.73500061035156,184.8300018310547,5567400000
1987-06-01,189.24000549316406,193.36000061035156,184.44000244140625,188.77000427246094,6549800000
1987-07-01,196.35000610351562,197.30499267578125,186.56500244140625,189.24000549316406,6759000000
1987-08-01,209.5749969482422,212.1649932861328,194.09500122070312,196.35000610351562,6272000000
1987-09-01,205.5050048828125,210.77999877929688,196.13499450683594,209.5749969482422,6185800000
1987-10-01,150.07000732421875,214.02999877929688,126.25,205.5050048828125,8148400000
1987-11-01,137.125,154.1199951171875,133.13999938964844,150.07000732421875,4994700000
1987-12-01,156.25,158.4199981689453,129.46499633789062,137.125,5887420000
1988-01-01,159.1300048828125,169.13999938964844,151.57000732421875,156.25,4930480000
1988-02-01,172.63999938964844,174.0500030517578,156.09500122070312,159.1300048828125,4985740000
1988-03-01,173.25999450683594,182.73500061035156,170.52499389648438,172.63999938964844,6309760000
1988-04-01,175.9199981689453,180.91000366210938,170.13999938964844,173.25999450683594,5004480000
1988-05-01,173.34500122070312,180.10499572753906,166.76499938964844,175.93499755859375,4934680000
1988-06-01,189.02499389648438,189.34500122070312,173.48500061035156,173.48500061035156,6192080000
1988-07-01,181.16000366210938,192.77000427246094,176.3800048828125,189.22999572753906,5219260000
1988-08-01,170.9949951171875,182.19000244140625,168.85000610351562,181.15499877929688,5181960000
1988-09-01,179.36500549316406,180.30999755859375,167.1699981689453,170.93499755859375,4688240000
1988-10-01,174.77999877929688,180.52499389648438,172.80999755859375,179.2899932861328,4993060000
