observation_date,IRLTCT01USM156N
1994-01-01,6.140000000
1994-02-01,6.640000000
1994-03-01,7.150000000
1994-04-01,7.370000000
1994-05-01,7.500000000
1994-06-01,7.680000000
1994-07-01,7.400000000
1994-08-01,7.530000000
1994-09-01,7.930000000
1994-10-01,8.050000000
1994-11-01,8.070000000
1994-12-01,7.980000000
1995-01-01,7.780000000
1995-02-01,7.520000000
1995-03-01,7.510000000
1995-04-01,7.390000000
1995-05-01,6.710000000
1995-06-01,6.640000000
1995-07-01,6.860000000
1995-08-01,6.710000000
1995-09-01,6.590000000
1995-10-01,6.380000000
1995-11-01,6.190000000
1995-12-01,5.990000000
1996-01-01,6.030000000
1996-02-01,6.560000000
1996-03-01,6.810000000
1996-04-01,7.030000000
1996-05-01,7.150000000
1996-06-01,7.010000000
1996-07-01,7.060000000
1996-08-01,7.240000000
1996-09-01,7.020000000
1996-10-01,6.710000000
1996-11-01,6.440000000
1996-12-01,6.720000000
1997-01-01,6.850000000
1997-02-01,6.900000000
1997-03-01,7.210000000
1997-04-01,7.030000000
1997-05-01,6.970000000
1997-06-01,6.840000000
1997-07-01,6.340000000
1997-08-01,6.670000000
1997-09-01,6.450000000
1997-10-01,6.190000000
1997-11-01,6.120000000
1997-12-01,6.010000000
1998-01-01,5.870000000
1998-02-01,5.970000000
1998-03-01,6.000000000
1998-04-01,6.010000000
1998-05-01,5.880000000
1998-06-01,5.710000000
1998-07-01,5.790000000
1998-08-01,5.420000000
1998-09-01,5.130000000
1998-10-01,5.320000000
1998-11-01,5.270000000
1998-12-01,5.330000000
1999-01-01,5.290000000
1999-02-01,5.800000000
1999-03-01,5.870000000
1999-04-01,5.890000000
1999-05-01,6.100000000
1999-06-01,6.240000000
1999-07-01,6.340000000
1999-08-01,6.420000000
1999-09-01,6.400000000
1999-10-01,6.460000000
1999-11-01,6.570000000
1999-12-01,6.760000000
2000-01-01,6.670000000
2000-02-01,6.410000000
2000-03-01,6.140000000
2000-04-01,6.270000000
2000-05-01,6.360000000
2000-06-01,6.200000000
2000-07-01,6.080000000
2000-08-01,5.920000000
2000-09-01,6.090000000
2000-10-01,5.980000000
2000-11-01,5.750000000
2000-12-01,5.510000000
2001-01-01,5.620000000
2001-02-01,5.480000000
2001-03-01,5.570000000
2001-04-01,5.880000000
2001-05-01,5.910000000
2001-06-01,5.880000000
2001-07-01,5.580000000
2001-08-01,5.440000000
2001-09-01,5.410000000
2001-10-01,5.000000000
2001-11-01,5.490000000
2001-12-01,5.710000000
2002-01-01,5.630000000
2002-02-01,5.570000000
2002-03-01,6.000000000
2002-04-01,5.690000000
2002-05-01,5.710000000
2002-06-01,5.580000000
2002-07-01,5.320000000
2002-08-01,4.970000000
2002-09-01,4.630000000
2002-10-01,4.930000000
2002-11-01,5.070000000
2002-12-01,4.730000000
2003-01-01,4.810000000
2003-02-01,4.570000000
2003-03-01,4.710000000
2003-04-01,4.660000000
2003-05-01,4.190000000
2003-06-01,4.350000000
2003-07-01,5.270000000
2003-08-01,5.170000000
2003-09-01,4.730000000
2003-10-01,5.030000000
2003-11-01,5.030000000
2003-12-01,4.940000000
2004-01-01,4.830000000
2004-02-01,4.680000000
2004-03-01,4.570000000
2004-04-01,5.160000000
2004-05-01,5.250000000
2004-06-01,5.200000000
2004-07-01,5.090000000
2004-08-01,4.770000000
2004-09-01,4.730000000
2004-10-01,4.630000000
2004-11-01,4.890000000
2004-12-01,4.710000000
2005-01-01,4.520000000
2005-02-01,4.690000000
2005-03-01,4.800000000
2005-04-01,4.510000000
2005-05-01,4.310000000
2005-06-01,4.200000000
2005-07-01,4.490000000
2005-08-01,4.260000000
2005-09-01,4.570000000
2005-10-01,4.790000000
2005-11-01,4.760000000
2005-12-01,4.700000000
2006-01-01,4.614500000
2006-02-01,4.718421053
2006-03-01,4.891304348
2006-04-01,5.187368421
2006-05-01,5.308636364
2006-06-01,5.269545455
2006-07-01,5.231000000
2006-08-01,5.049565217
2006-09-01,4.896000000
2006-10-01,4.901428571
2006-11-01,4.753809524
2006-12-01,4.739500000
2007-01-01,4.919047619
2007-02-01,4.895789474
2007-03-01,4.769090909
2007-04-01,4.899047619
2007-05-01,4.937272727
2007-06-01,5.263809524
2007-07-01,5.165238095
2007-08-01,4.956086957
2007-09-01,4.796315789
2007-10-01,4.785909091
2007-11-01,4.491000000
2007-12-01,4.495000000
2008-01-01,4.230476190
2008-02-01,4.336500000
2008-03-01,4.189000000
2008-04-01,4.289090909
2008-05-01,4.460476190
2008-06-01,4.628571429
2008-07-01,4.515000000
2008-08-01,4.410000000
2008-09-01,4.203333333
2008-10-01,4.396363636
2008-11-01,4.201111111
2008-12-01,3.106818182
2009-01-01,3.335500000
2009-02-01,3.694210526
2009-03-01,3.631818182
2009-04-01,3.680952381
2009-05-01,4.065000000
2009-06-01,4.401363636
